CVE_ENT,CVE_MUN,NOM_MUN,clave,mun_hect,CN_T1,CN_T2,CN_T3,CN_T4,CN_T5,Pro_CN_T1,Prop_CN_T2,Prop_CN_T3,Prop_CN_T4,Prop_CN_T5
12,006,Apaxtla,12006,62749.9450969547,50603.97099999999772990,42671.96399999999994179,41707.91000000000349246,42814.77900000000227010,43394.33724970000184840,0.80643849045305127,0.68003189379795803,0.66466846999718121,0.68230783204426793,0.69154382816832072
12,017,Cocula,12017,44631.7170335440,29820.36600000000180444,23843.41700000000128057,23449.56699999999909778,29997.45999999999912689,29999.63672779999978957,0.66814292574914413,0.53422585068999084,0.52540140865241491,0.67211082149169188,0.67215959236461986
12,026,Cuetzala del Progreso,12026,37239.6780086169,25542.61600000000180444,21455.65999999999985448,18872.94599999999991269,21584.75300000000061118,21584.53091380000114441,0.68589787468327967,0.57615052404683431,0.50679670204540928,0.57961706852045003,0.57961110482226907
12,028,Chilapa de lvarez,12028,74842.0049402732,40861.00499999999738066,40760.08999999999650754,39187.69200000000273576,40878.41399999999703141,40890.89256539999769302,0.54596352720118402,0.54461515338249045,0.52360558794854961,0.54619613721762994,0.54636286932762568
12,029,Chilpancingo de los Bravo,12029,218289.5640000000,188036.54699999999138527,185580.71299999998882413,173800.83799999998882413,188169.04399999999441206,188185.78587900000275113,0.86140877994515574,0.85015842992842283,0.79619398570973365,0.86201575811475795,0.86209245385180211
12,031,General Canuto A. Neri,12031,25934.4634563675,21088.36300000000119326,18527.67199999999866122,16977.25700000000142609,16613.92799999999988358,16598.78177910000158590,0.81314051611205895,0.71440352067322355,0.65462148575245349,0.64061198057756252,0.64002796152023822
12,032,General Heliodoro Castillo,12032,172192.4650000000,152204.79999999998835847,143502.31200000000535510,145634.88000000000465661,140398.35300000000279397,140697.57787400000961497,0.88392253400867449,0.83338322614755533,0.84576801894322151,0.81535712378587533,0.81709485879071431
12,034,Huitzuco de los Figueroa,12034,132309.5190000000,94459.39500000000407454,85756.63800000000628643,84705.75199999999313150,92034.99000000000523869,92087.07563459999801125,0.71392743102633460,0.64815168740806928,0.64020905404394968,0.69560369273203992,0.69599735779101424
12,039,Juan R. Escudero,12039,40684.2016539855,36951.80999999999767169,32115.86899999999877764,22972.85199999999895226,26450.62099999999918509,26411.50727740000002086,0.90825943481135329,0.78939410617275485,0.56466272081191338,0.65014477179519248,0.64918337348799071
12,040,Leonardo Bravo,12040,72000.9418028352,62440.90699999999924330,62719.18000000000029104,60976.38100000000122236,63074.56100000000151340,63105.50661979999858886,0.86722347564544289,0.87108832786865431,0.84688310282073176,0.87602411052790286,0.87645390518093313
12,042,Mrtir de Cuilapan,12042,61848.8157918146,50922.91799999999784632,50070.08200000000215368,50017.07800000000133878,49149.46499999999650754,49165.54680090000329074,0.82334507699239412,0.80955603367633988,0.80869904071177912,0.79467107608719478,0.79493109401468653
12,044,Mochitln,12044,51168.1331567595,39455.63100000000122236,39709.10199999999895226,40886.61600000000180444,39704.08999999999650754,39711.02827709999837680,0.77109772363832607,0.77605141227932961,0.79906405564453797,0.77595346068933024,0.77608905830980135
12,051,Quechultenango,12051,84483.5214646652,63901.87799999999697320,62584.70799999999871943,61601.54800000000250293,59586.21300000000337604,59594.54575089999707416,0.75638274650668569,0.74079189544881519,0.72915459644712532,0.70529982613143827,0.70539845780250898
