CVE_ENT,CVE_MUN,NOM_MUN,clave,mun_hect,1976,1993,2002,2011,CN_T5,Pro_CN_T1,Prop_CN_T2,Prop_CN_T3,Prop_CN_T4,Prop_CN_T5
12,6,Apaxtla,12006,62749.9450969547,50603.971,42671.964,41707.91,42814.779,43394.3372497,0.8064384905,0.6800318938,0.66466847,0.682307832,0.6915438282
12,17,Cocula,12017,44631.717033544,29820.366,23843.417,23449.567,29997.46,29999.6367278,0.6681429257,0.5342258507,0.5254014087,0.6721108215,0.6721595924
12,26,Cuetzala del Progreso,12026,37239.6780086169,25542.616,21455.66,18872.946,21584.753,21584.5309138,0.6858978747,0.576150524,0.506796702,0.5796170685,0.5796111048
12,28,Chilapa de lvarez,12028,74842.0049402732,40861.005,40760.09,39187.692,40878.414,40890.8925654,0.5459635272,0.5446151534,0.5236055879,0.5461961372,0.5463628693
12,29,Chilpancingo de los Bravo,12029,218289.564,188036.547,185580.713,173800.838,188169.044,188185.785879,0.8614087799,0.8501584299,0.7961939857,0.8620157581,0.8620924539
12,31,General Canuto A. Neri,12031,25934.4634563675,21088.363,18527.672,16977.257,16613.928,16598.7817791,0.8131405161,0.7144035207,0.6546214858,0.6406119806,0.6400279615
12,32,General Heliodoro Castillo,12032,172192.465,152204.8,143502.312,145634.88,140398.353,140697.577874,0.883922534,0.8333832261,0.8457680189,0.8153571238,0.8170948588
12,34,Huitzuco de los Figueroa,12034,132309.519,94459.395,85756.638,84705.752,92034.99,92087.0756346,0.713927431,0.6481516874,0.640209054,0.6956036927,0.6959973578
12,39,Juan R. Escudero,12039,40684.2016539855,36951.81,32115.869,22972.852,26450.621,26411.5072774,0.9082594348,0.7893941062,0.5646627208,0.6501447718,0.6491833735
12,40,Leonardo Bravo,12040,72000.9418028352,62440.907,62719.18,60976.381,63074.561,63105.5066198,0.8672234756,0.8710883279,0.8468831028,0.8760241105,0.8764539052
12,42,Mrtir de Cuilapan,12042,61848.8157918146,50922.918,50070.082,50017.078,49149.465,49165.5468009,0.823345077,0.8095560337,0.8086990407,0.7946710761,0.794931094
12,44,Mochitln,12044,51168.1331567595,39455.631,39709.102,40886.616,39704.09,39711.0282771,0.7710977236,0.7760514123,0.7990640556,0.7759534607,0.7760890583
12,51,Quechultenango,12051,84483.5214646652,63901.878,62584.708,61601.548,59586.213,59594.5457509,0.7563827465,0.7407918954,0.7291545964,0.7052998261,0.7053984578
12,53,San Marcos,12053,116821.744,71345.572,62194.654,49043.095,48377.416,48218.9653656,0.6107216821,0.5323893641,0.4198113581,0.4141131124,0.412756767
12,56,Tecoanapa,12056,70012.8942960158,45943.283,41938.647,38840.053,31989.704,31998.2525142,0.6562117373,0.5990131878,0.5547557117,0.4569116064,0.4570337055
12,58,Teloloapan,12058,100363.447,58069.182,48524.406,47483.558,54963.47,54700.6330508,0.5785889558,0.4834868416,0.4731160539,0.5476443032,0.5450254519
12,59,Tepecoacuilco de Trujano,12059,85308.4792526234,49782.863,39243.816,38415.921,46422.621,46420.7218508,0.5835628936,0.4600224543,0.4503177332,0.5441735852,0.544151323
12,61,Tixtla de Guerrero,12061,38811.3608571964,25263.869,25176.853,26146.412,26833.054,26828.5933134,0.6509400454,0.6486980215,0.6736793409,0.6913711194,0.6912561869
12,74,Zitlala,12074,30214.8495729114,22011.215,21315.383,15798.358,16265.913,16262.520902,0.7284899747,0.7054605037,0.5228673392,0.538341684,0.538229418
12,75,Eduardo Neri,12075,124824.325,106420.934,104621.384,101182.788,101910.088,101915.24171,0.8525656678,0.8381490066,0.8106015234,0.8164281121,0.8164693998
12,35,Iguala de la Independencia,12035,56804.1018170148,25680.745,21091.265,21156.915,25923.677,25911.0960363,0.4520931443,0.3712982747,0.3724540011,0.4563698073,0.4561483275
